Funktionale Gliederung,Direktion,Produktgruppe (z.T. gekürzte Bezeichnung),"Rechnung 2011
Kosten
(inkl. Kosten Staatsbeiträge)
","Rechnung 2011
Erlöse
(inkl. Erlöse Staatsbeiträge und fiskalische Erlöse und Bussen)",DB IV,"
Voranschlag 2011
Kosten
(inkl. Kosten Staatsbeiträge)","Voranschlag 2011
Erlöse
(inkl. Erlöse Staatsbeiträge und fiskalische Erlöse und Bussen)
",DB IV
Gesundheit,Gesundheits- und Fürsorgedirektion,Somatische Spitalversorgung,860.8,.1,-860.7,915.1,.0,-915.1
Gesundheit,Gesundheits- und Fürsorgedirektion,Gesundheitsschutz und Sanitätsdienst,3.8,.9,-2.8,6.6,.2,-6.4
Gesundheit,Gesundheits- und Fürsorgedirektion,Suchthilfeangebote,28.0,7.3,-20.7,28.7,7.5,-21.3
Gesundheit,Gesundheits- und Fürsorgedirektion,Psychiatrieversorgung,273.0,111.1,-161.9,275.0,108.7,-166.2
Gesundheit,Gesundheits- und Fürsorgedirektion,Verbraucherschutz,9.4,1.5,-7.8,9.4,1.4,-8.0
Gesundheit,Gesundheits- und Fürsorgedirektion,"Chemie-, Bio- und Strah-lensicherheit",1.1,.0,-1.1,1.1,.0,-1.1
Soziale Wohlfahrt,Gesundheits- und Fürsorgedirektion,Angebote zur sozialen Existenzsicherung,305.3,23.8,-281.6,290.7,13.2,-277.6
Soziale Wohlfahrt,Gesundheits- und Fürsorgedirektion,Angebote zur sozialen Integration,55.7,.7,-55.0,55.6,.7,-55.0
Soziale Wohlfahrt,Gesundheits- und Fürsorgedirektion,Angebote für Menschen mit einer Behinderung und/oder einem Integrationsbedarf,476.0,31.0,-445.1,459.8,31.7,-428.1
Soziale Wohlfahrt,Gesundheits- und Fürsorgedirektion,Angebote für ältere und/oder chronischkranke Menschen,125.5,36.7,-88.8,87.0,46.0,-40.9
Öffentliche Sicherheit,Gerichtsbehörden und Staatsanwaltschaft,Zivil- und Strafgerichtsbarkeit,101.6,39.3,-62.3,82.5,43.5,-39.0
Öffentliche Sicherheit,Gerichtsbehörden und Staatsanwaltschaft,Verwaltungsgerichtsbarkeit,14.9,1.2,-13.8,14.1,1.3,-12.8
Öffentliche Sicherheit,Gerichtsbehörden und Staatsanwaltschaft,Staatsanwaltschaft,72.6,37.2,-35.4,62.0,31.0,-31.1
Öffentliche Sicherheit,Gerichtsbehörden und Staatsanwaltschaft,Justizleitung,1.5,.0,-1.5,2.4,.0,-2.4
Allgem. Verwaltung,Finanzkontrolle,Finanzaufsicht,4.9,.0,-4.9,5.3,.0,-5.2
Allgem. Verwaltung,Finanzdirektion,"Personalentwicklung, Gesundheit und Soziales",5.2,.3,-4.9,5.8,.4,-5.3
Allgem. Verwaltung,Finanzdirektion,Personal- und Gehaltsmanagement,12.0,5.3,-6.7,13.1,2.4,-10.6
Allgem. Verwaltung,Finanzdirektion,Informatik und Telekommunikation,85.6,4.5,-81.2,101.9,1.6,-100.3
Allgem. Verwaltung,Finanzdirektion,Organisationsentwicklung,13.8,.4,-13.4,14.4,.4,-13.9
Finanzen / Steuern,Finanzdirektion,Führungsunterstützung,3.2,.3,-2.9,4.0,.3,-3.7
Finanzen / Steuern,Finanzdirektion,Verwaltungsinterne Verwaltungsrechtspflege,.0,.0,-.0,.1,.0,-.1
Finanzen / Steuern,Finanzdirektion,Voranschlag und Aufgaben-/Finanzplan Kanton,.5,.0,-.5,.7,.0,-.7
Finanzen / Steuern,Finanzdirektion,Tresorerie,7.7,247.3,239.6,7.8,242.3,234.5
Finanzen / Steuern,Finanzdirektion,Finanzausgleich Bund – Kanton / Kanton – Gemeinden,1.0,866.7,865.7,1.3,861.7,860.4
Finanzen / Steuern,Finanzdirektion,Dienstleistungen Haushaltsführung,6.5,.0,-6.5,9.5,.0,-9.5
Finanzen / Steuern,Finanzdirektion,Konzernrechnungswesen,1.7,.0,-1.7,2.7,.0,-2.7
Finanzen / Steuern,Finanzdirektion,Veranlagung periodische Steuern,90.3,4160.4,4070.1,110.3,4175.0,4064.7
