Funktionale Gliederung,Direktion,Produktgruppe (z.T. gekürzte Bezeichnung),"Rechnung 2012
Kosten
(inkl. Kosten Staatsbeiträge)","Rechnung 2012
Erlöse
(inkl. Erlöse Staatsbeiträge und fiskalische Erlöse und Bussen)",DB IV,"Voranschlag 2012
Kosten
(inkl. Kosten Staatsbeiträge)","Voranschlag 2012
Erlöse
(inkl. Erlöse Staatsbeiträge und fiskalische Erlöse und Bussen)",DB IV
Gesundheit,Gesundheits- und Fürsorgedirektion,Somatische Spitalversorgung,"1,109,114",14,"-1,109,100","1,180,192",4,"-1,180,188"
Gesundheit,Gesundheits- und Fürsorgedirektion,Gesundheitsschutz und Sanitätsdienst,"4,796","1,096","-3,700","6,925",832,"-6,093"
Gesundheit,Gesundheits- und Fürsorgedirektion,Suchthilfeangebote,"23,854","7,162","-16,693","24,304","6,751","-17,553"
Gesundheit,Gesundheits- und Fürsorgedirektion,Psychiatrieversorgung ,"308,215","132,361","-175,968","318,612","120,044","-198,897"
Gesundheit,Gesundheits- und Fürsorgedirektion,Verbraucherschutz,"8,956","1,380","-7,576","9,148","1,156","-7,992"
Gesundheit,Gesundheits- und Fürsorgedirektion,"Chemie-, Bio- und Strah-lensicherheit","1,077",0,"-1,077","1,111",0,"-1,111"
Soziale Wohlfahrt,Gesundheits- und Fürsorgedirektion,Angebote zur sozialen Existenzsicherung,"341,925","22,529","-319,396","355,336","13,553","-341,783"
Soziale Wohlfahrt,Gesundheits- und Fürsorgedirektion,Angebote zur sozialen Integration,"51,756",891,"-50,864","58,404",672,"-57,732"
Soziale Wohlfahrt,Gesundheits- und Fürsorgedirektion,Angebote für Menschen mit einer Behinderung und/oder einem Integrationsbedarf,"397,140","31,661","-365,479","357,663","20,852","-336,811"
Soziale Wohlfahrt,Gesundheits- und Fürsorgedirektion,Angebote für ältere und/oder chronischkranke Menschen,"308,173","9,630","-298,543","252,041","2,056","-249,985"
Öffentliche Sicherheit,Gerichtsbehörden und Staatsanwaltschaft,Zivil- und Strafgerichtsbarkeit,"97,994","42,565","-55,428","82,062","40,236","-41,826"
Öffentliche Sicherheit,Gerichtsbehörden und Staatsanwaltschaft,Verwaltungsgerichtsbarkeit,"14,495","1,247","-13,248","14,505","1,301","-13,203"
Öffentliche Sicherheit,Gerichtsbehörden und Staatsanwaltschaft,Staatsanwaltschaft,"73,014","41,682","-31,332","69,139","32,392","-36,747"
Öffentliche Sicherheit,Gerichtsbehörden und Staatsanwaltschaft,Justizleitung,"1,673",5,"-1,668","2,620",2,"-2,618"
Allgemeine Verwaltung,Finanzkontrolle,Finanzaufsicht,"4,606",69,"-4,537","5,198",60,"-5,138"
Allgemeine Verwaltung,Finanzdirektion,"Personalentwicklung, Gesundheit und Soziales","4,921",700,"-4,220","5,631",504,"-5,127"
Allgemeine Verwaltung,Finanzdirektion,Personal- und Gehaltsmanagement,"11,823","5,669","-6,154","14,137","2,664","-11,473"
Allgemeine Verwaltung,Finanzdirektion,Informatik und Telekommunikation,"81,361",745,"-80,616","97,026",934,"-96,092"
Allgemeine Verwaltung,Finanzdirektion,Organisationsentwicklung,"13,103",367,"-12,736","14,068",423,"-13,645"
