"BFS-Nr","Gemeinde","Jahr","Aufgabenbereich Name","Aufgabe Name","Aufgabenstelle Name","Aufgabenbereich Nummer","Aufgabe Nummer","Aufgabenstelle Nummer","Kontenbereich Name","Kontenklasse Name","Kontengruppe Name","Konto Name","Kontenbereich Nummer","Kontenklasse Nummer","Kontengruppe Nummer","Konto Nummer","Saldo"
"979","Herzogenbuchsee","2006","","","","","","","[1] Aktiven","[10] Finanzvermögen","","","1","10","","","36945718.10"
"979","Herzogenbuchsee","2006","","","","","","","[2] Passiven","[20] Fremdkapital","","","2","20","","","9465643.92"
"979","Herzogenbuchsee","2006","","","","","","","[2] Passiven","[22] Spezialfinanzierungen","","","2","22","","","29521245.60"
"979","Herzogenbuchsee","2006","","","","","","","[2] Passiven","[23] Eigenkapital","","","2","23","","","7874996.58"
"979","Herzogenbuchsee","2006","[0] ALLGEMEINE VERWALTUNG","[01] Legislative und Exekutive","[012] Exekutive","0","1","12","[3] Aufwand","[3] AUFWAND","","","3","3","","","169416.61"
"979","Herzogenbuchsee","2006","[0] ALLGEMEINE VERWALTUNG","[09] Nicht aufteilbare Aufgaben","[092] ...","0","9","92","[3] Aufwand","[3] AUFWAND","","","3","3","","","34307.50"
"979","Herzogenbuchsee","2006","[0] ALLGEMEINE VERWALTUNG","[09] Nicht aufteilbare Aufgaben","[094] ...","0","9","94","[3] Aufwand","[3] AUFWAND","","","3","3","","","535.80"
"979","Herzogenbuchsee","2006","[0] ALLGEMEINE VERWALTUNG","[09] Nicht aufteilbare Aufgaben","[097] ...","0","9","97","[3] Aufwand","[3] AUFWAND","","","3","3","","","60437.30"
"979","Herzogenbuchsee","2006","[1] OEFFENTLICHE SICHERHEIT","[10] Rechtsaufsicht","[100] Mass und Gewicht","1","10","100","[3] Aufwand","[3] AUFWAND","","","3","3","","","8671.05"
"979","Herzogenbuchsee","2006","[1] OEFFENTLICHE SICHERHEIT","[11] Polizei","[113] Gemeindepolizei","1","11","113","[3] Aufwand","[3] AUFWAND","","","3","3","","","21346.50"
"979","Herzogenbuchsee","2006","[1] OEFFENTLICHE SICHERHEIT","[14] Wehrdienste","[140] Wehrdienste","1","14","140","[3] Aufwand","[3] AUFWAND","","","3","3","","","378093.10"
"979","Herzogenbuchsee","2006","[1] OEFFENTLICHE SICHERHEIT","[16] Zivile Landesverteidigung","[160] Zivilschutz","1","16","160","[3] Aufwand","[3] AUFWAND","","","3","3","","","112773.90"
"979","Herzogenbuchsee","2006","[1] OEFFENTLICHE SICHERHEIT","[16] Zivile Landesverteidigung","[161] Uebrige zivile Landesverteidigung","1","16","161","[3] Aufwand","[3] AUFWAND","","","3","3","","","15290.70"
"979","Herzogenbuchsee","2006","[2] BILDUNG","[20] Kindergarten","[200] Kindergarten","2","20","200","[3] Aufwand","[3] AUFWAND","","","3","3","","","201241.85"
"979","Herzogenbuchsee","2006","[2] BILDUNG","[20] Kindergarten","[205] ...","2","20","205","[3] Aufwand","[3] AUFWAND","","","3","3","","","97871.95"
"979","Herzogenbuchsee","2006","[2] BILDUNG","[21] Volksschule","[214] Musikschulen","2","21","214","[3] Aufwand","[3] AUFWAND","","","3","3","","","155245.00"
"979","Herzogenbuchsee","2006","[2] BILDUNG","[21] Volksschule","[216] ...","2","21","216","[3] Aufwand","[3] AUFWAND","","","3","3","","","70685.50"
"979","Herzogenbuchsee","2006","[2] BILDUNG","[21] Volksschule","[219] Nicht Aufteilbares, Volksschule, Tagesschule","2","21","219","[3] Aufwand","[3] AUFWAND","","","3","3","","","225542.55"
"979","Herzogenbuchsee","2006","[3] KULTUR UND FREIZEIT","[30] Kulturförderung","[309] Uebrige Kulturförderung","3","30","309","[3] Aufwand","[3] AUFWAND","","","3","3","","","29318.15"
"979","Herzogenbuchsee","2006","[3] KULTUR UND FREIZEIT","[32] Massenmedien","[320] Massenmedien","3","32","320","[3] Aufwand","[3] AUFWAND","","","3","3","","","85291.60"
"979","Herzogenbuchsee","2006","[3] KULTUR UND FREIZEIT","[33] Parkanlagen und Wanderwege","[330] Parkanlagen und Wanderwege","3","33","330","[3] Aufwand","[3] AUFWAND","","","3","3","","","50943.00"
"979","Herzogenbuchsee","2006","[3] KULTUR UND FREIZEIT","[34] Sport","[340] Sport","3","34","340","[3] Aufwand","[3] AUFWAND","","","3","3","","","13889.45"
"979","Herzogenbuchsee","2006","[3] KULTUR UND FREIZEIT","[34] Sport","[341] ...","3","34","341","[3] Aufwand","[3] AUFWAND","","","3","3","","","986186.08"
"979","Herzogenbuchsee","2006","[3] KULTUR UND FREIZEIT","[34] Sport","[343] ...","3","34","343","[3] Aufwand","[3] AUFWAND","","","3","3","","","853.15"
"979","Herzogenbuchsee","2006","[4] GESUNDHEIT","[46] Schulgesundheitsdienst","[460] Schulärztliche Pflege","4","46","460","[3] Aufwand","[3] AUFWAND","","","3","3","","","5864.35"
"979","Herzogenbuchsee","2006","[4] GESUNDHEIT","[47] Lebensmittelkontrolle","[470] Lebensmittelkontrolle","4","47","470","[3] Aufwand","[3] AUFWAND","","","3","3","","","18299.90"
"979","Herzogenbuchsee","2006","[5] SOZIALE WOHLFAHRT","[50] Altersversicherung","[500] AHV-Zweigstelle","5","50","500","[3] Aufwand","[3] AUFWAND","","","3","3","","","87711.65"
"979","Herzogenbuchsee","2006","[5] SOZIALE WOHLFAHRT","[51] Invalidenversicherung","[510] Gemeindeanteil am Beitrag des Kantons für die IV","5","51","510","[3] Aufwand","[3] AUFWAND","","","3","3","","","316870.00"
"979","Herzogenbuchsee","2006","[5] SOZIALE WOHLFAHRT","[57] Altersheime","[571] ...","5","57","571","[3] Aufwand","[3] AUFWAND","","","3","3","","","272725.95"
"979","Herzogenbuchsee","2006","[5] SOZIALE WOHLFAHRT","[58] Sozialhilfe","[581] Zuschüsse an minderbemittelte Personen","5","58","581","[3] Aufwand","[3] AUFWAND","","","3","3","","","256939.60"
"979","Herzogenbuchsee","2006","[5] SOZIALE WOHLFAHRT","[58] Sozialhilfe","[582] Weitere Wohlfahrts-, Vor- + Fürsorgeeinrichtungen","5","58","582","[3] Aufwand","[3] AUFWAND","","","3","3","","","12893.35"
"979","Herzogenbuchsee","2006","[5] SOZIALE WOHLFAHRT","[58] Sozialhilfe","[584] Dem Lastenausgleich unterlieg.Pers'kosten Sozialarbeiter","5","58","584","[3] Aufwand","[3] AUFWAND","","","3","3","","","499454.20"
"979","Herzogenbuchsee","2006","[5] SOZIALE WOHLFAHRT","[58] Sozialhilfe","[587] Lastenausgleich","5","58","587","[3] Aufwand","[3] AUFWAND","","","3","3","","","2274597.50"
"979","Herzogenbuchsee","2006","[5] SOZIALE WOHLFAHRT","[58] Sozialhilfe","[589] Sozialbehörden, Sekretariat","5","58","589","[3] Aufwand","[3] AUFWAND","","","3","3","","","229461.25"
"979","Herzogenbuchsee","2006","[5] SOZIALE WOHLFAHRT","[59] Hilfsaktionen","[590] Hilfsaktionen im Inland","5","59","590","[3] Aufwand","[3] AUFWAND","","","3","3","","","5000.00"
"979","Herzogenbuchsee","2006","[6] VERKEHR","[62] Gemeindestrassen","[621] Parkplätze","6","62","621","[3] Aufwand","[3] AUFWAND","","","3","3","","","29857.15"
"979","Herzogenbuchsee","2006","[6] VERKEHR","[65] Regionalverkehr","[650] Regionalverkehrsbetriebe","6","65","650","[3] Aufwand","[3] AUFWAND","","","3","3","","","1307.40"
"979","Herzogenbuchsee","2006","[6] VERKEHR","[69] Uebriger Verkehr","[690] Uebriger Verkehr","6","69","690","[3] Aufwand","[3] AUFWAND","","","3","3","","","328451.00"
"979","Herzogenbuchsee","2006","[7] UMWELT UND RAUMORDNUNG","[72] Abfallentsorgung","[720] Abfallentsorgung","7","72","720","[3] Aufwand","[3] AUFWAND","","","3","3","","","425271.75"
"979","Herzogenbuchsee","2006","[7] UMWELT UND RAUMORDNUNG","[74] Friedhof und Bestattung","[740] Friedhof und Bestattung","7","74","740","[3] Aufwand","[3] AUFWAND","","","3","3","","","138378.35"
"979","Herzogenbuchsee","2006","[7] UMWELT UND RAUMORDNUNG","[78] Uebriger Umweltschutz","[780] Oeffentliche Toiletten","7","78","780","[3] Aufwand","[3] AUFWAND","","","3","3","","","3188.70"
"979","Herzogenbuchsee","2006","[7] UMWELT UND RAUMORDNUNG","[79] Raumordnung","[791] Entwicklungskonzepte","7","79","791","[3] Aufwand","[3] AUFWAND","","","3","3","","","3192.50"
"979","Herzogenbuchsee","2006","[8] VOLKSWIRTSCHAFT","[83] Tourismus","[830] Tourismus","8","83","830","[3] Aufwand","[3] AUFWAND","","","3","3","","","-652.35"
"979","Herzogenbuchsee","2006","[8] VOLKSWIRTSCHAFT","[84] Industrie, Gewerbe, Handel","[841] ...","8","84","841","[3] Aufwand","[3] AUFWAND","","","3","3","","","15629.75"
"979","Herzogenbuchsee","2006","[9] FINANZEN UND STEUERN","[94] Vermögens- und Schuldenverwaltung","[944] Burgergut","9","94","944","[3] Aufwand","[3] AUFWAND","","","3","3","","","14035.10"
"979","Herzogenbuchsee","2006","[9] FINANZEN UND STEUERN","[94] Vermögens- und Schuldenverwaltung","[945] ...","9","94","945","[3] Aufwand","[3] AUFWAND","","","3","3","","","14838.15"
"979","Herzogenbuchsee","2006","[9] FINANZEN UND STEUERN","[94] Vermögens- und Schuldenverwaltung","[947] ...","9","94","947","[3] Aufwand","[3] AUFWAND","","","3","3","","","278997.50"
